
[0057]  [038]  []  []

-Z/6/749/t1	              {ΓΑΛΗΝΟΥ 
-Z/6/749/t2	        ΠΕΡΙ ΕΥΧΥΜΙΑϹ ΚΑΙ ΚΑΚΟΧΥΜΙΑϹ} 
-Z/6/749/1	  Οἱ ϲυνεχῶϲ ἐτῶν οὐκ ὀλίγων ἐφεξῆϲ γενόμενοι λιμοὶ κατὰ 
-Z/6/749/2	πολλὰ τῶν Ῥωμαίοιϲ ὑπακουόντων ἐθνῶν ἐναργῶϲ ἐπεδείξαντο τοῖϲ 
-Z/6/749/3	γε μὴ παντάπαϲιν ἀνοήτοιϲ, ἡλίκην ἔχει κακοχυμία δύναμιν εἰϲ νόϲων 
-Z/6/749/4	γένεϲιν· οἱ μὲν γὰρ τὰϲ πόλειϲ οἰκοῦντεϲ, ὥϲπερ ἦν ἔθοϲ αὐτοῖϲ ἀεὶ 
-Z/6/749/5	παραϲκευάζεϲθαι μετὰ τὸ θέροϲ εὐθέωϲ ϲῖτον αὐτάρκη πρὸϲ ὅλον τὸν 
-Z/6/749/6	ἐφεξῆϲ ἐνιαυτόν, ἐκ τῶν ἀγρῶν πάντα τὸν πυρὸν αἴροντεϲ ἅμα ταῖϲ 
-Z/6/750/1	κριθαῖϲ τε καὶ τοῖϲ κυάμοιϲ καὶ τοῖϲ φακοῖϲ ἀπέλειπον τοῖϲ ἀγροί|κοιϲ 
-Z/6/750/2	τοὺϲ ἄλλουϲ Δημητρίουϲ καρπούϲ, οὓϲ ὀνομάζουϲιν ὄϲπριά τε καὶ 
[0057]  [038]  []  []

-Z/6/750/3	χεδροπὰ μετὰ τοῦ καὶ τούτων αὐτῶν οὐκ ὀλίγα κομίζειν εἰϲ ἄϲτυ. 
-Z/6/750/4	τὰ δ' οὖν ὑπολειφθέντα διὰ τοῦ χειμῶνοϲ ἐκδαπανῶντεϲ οἱ κατὰ τὴν 
-Z/6/750/5	χώραν ἄνθρωποι τροφαῖϲ κακοχύμοιϲ ἠναγκάζοντο χρῆϲθαι δι' ὅλου τοῦ 
-Z/6/750/6	ἦροϲ, ἐϲθίοντεϲ ἀκρέμονάϲ τε καὶ βλάϲταϲ δένδρων καὶ θάμνων καὶ 
-Z/6/750/7	βολβοὺϲ καὶ ῥίζαϲ κακοχύμων φυτῶν, ἐνεφοροῦντο δὲ καὶ τῶν ἀγρίων 
-Z/6/750/8	ὀνομαζομένων λαχάνων, ὅτου τιϲ ἔτυχεν εὐπορήϲαϲ, ἀφειδῶϲ ἄχρι 
-Z/6/750/9	κόρου, καθάπερ καὶ πόαϲ χλωρὰϲ ὅλαϲ ἕψοντεϲ ἤϲθιον, ὧν πρότερον 
-Z/6/750/10	οὐδ' ἄχρι πείραϲ ἐγεύϲαντο πώποτε. παρῆν δ' ὁρᾶν ἐνίουϲ μὲν αὐτῶν 
-Z/6/750/11	ἐν τοῖϲ ἐϲχάτοιϲ τοῦ ἦροϲ, ἅπανταϲ δ' ὀλίγου δεῖν ἐν ἀρχῇ τοῦ θέρουϲ 
-Z/6/750/12	ἁλιϲκομένουϲ ἕλκεϲι παμπόλλοιϲ κατὰ τὸ δέρμα ϲυνιϲταμένοιϲ, οὐ τὴν 
-Z/6/750/13	αὐτὴν ἰδέαν ἅπαϲιν ἔχουϲι· τὰ μὲν γὰρ αὐτῶν ἦν ἐρυϲιπελατώδη, τὰ  
-Z/6/750/14	δὲ φλεγμονώδη, τὰ δ' ἑρπηϲτικά, τὰ δὲ λειχηνώδη τε καὶ ψωρώδη καὶ 
-Z/6/750/15	λεπρώδη. ταῦτα μὲν ὅϲα πραότατα διὰ τοῦ δέρματοϲ ἐξανθήϲαντα τὴν 
-Z/6/750/16	κακοχυμίαν ἐκ τῶν ϲπλάγχνων τε καὶ τοῦ βάθουϲ ἐκένωϲεν· ἐνίοιϲ δέ 
-Z/6/751/1	τιϲιν ἀνθρακώδη τε καὶ φαγεδαι|νικὰ γενόμενα μετὰ πυρετῶν ἀπέ-
-Z/6/751/2	κτεινε τοὺϲ παθόνταϲ ἐν χρόνῳ μακρῷ μόλιϲ ὀλιγίϲτων ϲωθέντων. ἄνευ 
-Z/6/751/3	δὲ τῶν κατὰ τὸ δέρμα παθημάτων πυρετοὶ πάμπολλοι ἐγένοντο δια-
-Z/6/751/4	χωρήϲειϲ γαϲτρὸϲ ἐπιφέροντεϲ δυϲώδειϲ καὶ δακνώδειϲ εἰϲ τεινεϲμοὺϲ 
-Z/6/751/5	καὶ δυϲεντερίαϲ τελευτώϲαϲ, οὖρά τε δριμέα καὶ αὐτὰ δυϲώδη τὴν 
-Z/6/751/6	κύϲτιν ἐνίων ἑλκώϲαντα. τινὲϲ δ' αὐτῶν ἐκρίθηϲαν ἱδρῶϲι καὶ τούτοιϲ 
-Z/6/751/7	δριμέϲι καὶ δυϲώδεϲιν ἢ ἀποϲτήμαϲι ϲηπεδονώδεϲιν. οἷϲ δ' οὐδὲν τού-
-Z/6/751/8	των ἐγένετο, πάντεϲ ἀπέθανον ἢ μετὰ φανερᾶϲ φλεγμονῆϲ ἑνόϲ γέ 
-Z/6/751/9	τινοϲ τῶν ϲπλάγχνων ἢ διὰ τὸ μέγεθόϲ τε καὶ τὴν κακοήθειαν τῶν 
-Z/6/751/10	πυρετῶν. ὀλιγίϲτων δὲ φλέβα τεμεῖν ἐν ἀρχῇ τῆϲ νόϲου τολμήϲαντεϲ 
-Z/6/751/11	ἔνιοι τῶν ἰατρῶν (ἐδεδίεϲαν γὰρ εἰκότωϲ χρῆϲθαι τῷ βοηθήματι διὰ τὸ 
-Z/6/751/12	προκαταλελύϲθαι τὴν δύναμιν) οὐδενὸϲ εἶδον αἷμα χρηϲτὸν ἐκκριθέν, 
-Z/6/751/13	ὁποῖον ἐκ τῶν ὑγιεινῶν ϲωμάτων ὁρᾶται κενούμενον, ἀλλ' ἤτοι πυρ-
-Z/6/751/14	ρότερον ἢ μελάντερον ἢ ὀρωδέϲτερον ἢ δριμὺ καὶ δάκνον αὐτὴν τὴν 
-Z/6/751/15	διαιρεθεῖϲαν φλέβα κατὰ τὴν ἐκροήν, ὡϲ δυϲεπούλωτον γενέϲθαι τὸ 
-Z/6/752/1	ἕλκοϲ. ἐνίοιϲ | δὲ καὶ ϲυμπτώματα μετὰ πυρετῶν καὶ μάλιϲτα τοῖϲ 
-Z/6/752/2	ἀποθανοῦϲιν ἐγένετο βλάβην τῆϲ διανοίαϲ ἐπιφέροντα ϲὺν ἀγρυπνίαιϲ 
-Z/6/752/3	ἢ καταφοραῖϲ. καὶ οὐδὲν δήπου θαυμαϲτὸν ἐναντίοιϲ ἁλῶναι νοϲήμαϲί 
-Z/6/752/4	τε καὶ ϲυμπτώμαϲι τοὺϲ τότε νοϲήϲανταϲ, αὐτούϲ τε διαφέρονταϲ ἀλ-
-Z/6/752/5	λήλων οὐ ταῖϲ φύϲεϲι μόνον ἢ ταῖϲ ἡλικίαιϲ, ἀλλὰ καὶ ταῖϲ ἔμπροϲθεν 
-Z/6/752/6	διαίταιϲ, ἐναντίαν τε δύναμιν ἐχούϲαϲ ἐδηδοκόταϲ ἐν τῷ λιμῷ τροφάϲ· 
-Z/6/752/7	ἤϲθιον μὲν γὰρ ἅπαντεϲ ὧν ηὐπόρουν· ἀνομοίου δὲ τῆϲ εὐπορίαϲ οὔϲηϲ 
-Z/6/752/8	ἔνιοι μὲν ὀξεῖϲ ἢ δριμεῖϲ ἢ ἁλυκοὺϲ ἢ πικροὺϲ ἔχοντα χυμοὺϲ ἐδέϲματα 
-Z/6/752/9	προϲηνέγκαντο, τινὲϲ δ' αὐϲτηροὺϲ ἢ ϲτρυφνοὺϲ ἢ ψύχονταϲ ϲαφῶϲ ἢ  
-Z/6/752/10	ὑγροὺϲ ἱκανῶϲ ἢ παχεῖϲ ἢ γλίϲχρουϲ ἢ φαρμακώδειϲ. οἶδα γοῦν ἐνίουϲ 
-Z/6/752/11	μὲν αὐτίκα διὰ μυκήτων ἐδωδὴν ἀποθανόνταϲ, ἐνίουϲ δὲ διὰ κωνείων 
-Z/6/752/12	ἢ ναρθήκων, [οὐκ] ὀλίγουϲ δ' ἐξ αὐτῶν μόγιϲ διαϲωθένταϲ. 
-Z/6/752/13	  ἅπαϲι μὲν οὖν τοῖϲ ἄλλοιϲ ἀνθρώποιϲ ἐναργῶϲ ἐφαίνετο τῷ 
-Z/6/752/14	λογιϲμῷ ϲκοπουμένοιϲ, ὡϲ ἐκτὸϲ ἐν τῷ δέρματι πολυειδεῖϲ μὲν ἑλκώ-
-Z/6/753/1	ϲειϲ ἐγίνοντο, ποικίλα δ' ὄγκων εἴδη φλεγμονωδῶν τε καὶ οἰ|δηματω-
-Z/6/753/2	δῶν ἐρυϲιπελατωδῶν τε καὶ ϲκιρωδῶν, οὕτω καὶ κατά τινα τῶν ἐν 
-Z/6/753/3	τῷ βάθει μορίων, ὅϲα κυριώτερα, τὰϲ αὐτὰϲ διαθέϲειϲ ἐγχωρεῖν γεγο-
-Z/6/753/4	νέναι. μόνοιϲ δὲ τοῖϲ ἀποϲτᾶϲι τῆϲ κατὰ τοὺϲ χυμοὺϲ <Ἱπποκρατείου> 
-Z/6/753/5	διδαϲκαλίαϲ ὁ λογιϲμὸϲ ἐπεπήρωτο, πάντα μᾶλλον ἢ τοὺϲ χυμοὺϲ 
-Z/6/753/6	αἰτιᾶϲθαι τολμῶϲιν. ἔνιοι δ' αὐτῶν ὡμολόγηϲάν μοι λαθραίωϲ ὁρᾶν 
-Z/6/753/7	μὲν ἐναργῶϲ τὴν πρὸϲ <Ἱπποκράτην> φιλονεικίαν τῶν οὐδὲν οὔτ' 
-Z/6/753/8	εἰϲ ὑγίειαν οὔτ' εἰϲ νόϲον ἡγουμένων ἀγαθὸν ἢ κακὸν ἐκ χυμῶν γίνε-
-Z/6/753/9	ϲθαι, μεταϲτῆναι δ' αἰδεῖϲθαι πρὸϲ <Ἱπποκράτην> μετὰ πεντήκοντα τῆϲ 
-Z/6/753/10	ἡλικίαϲ ἔτη. δόξομεν γὰρ οὕτωϲ, ἔφαϲαν, οὐ τοὺϲ μαθητὰϲ μόνον ἀλλὰ 
-Z/6/753/11	καὶ 〈τοὺϲ〉 ἄλλουϲ ἅπανταϲ τοὺϲ χρωμένουϲ ἡμῖν ἐν ἅπαντι τῷ πρόϲθεν 
-Z/6/753/12	χρόνῳ βεβλαφέναι. καὶ μέντοι καὶ τιμᾶϲθαι μὲν ἔλεγον ἤδη πρὸϲ πολλῶν 
-Z/6/753/13	ἀνθρώπων ὡϲ ἐπ' ἀληθέϲιν οἷϲ ἐπρέϲβευον δόγμαϲιν. ἐὰν δὲ καὶ ταῦθ' 
-Z/6/753/14	ὁμολογήϲωϲιν εἶναι μοχθηρὰ καὶ τῶν ἄλλων ἀμαθεῖϲ φαίνωνται, μηδένα 
-Z/6/753/15	τῶν ἔμπροϲθεν αὐτοῖϲ χρωμένων αὖθιϲ ἔτι χρήϲεϲθαι. τούτοιϲ μὲν οὖν 
-Z/6/754/1	πολλὴν ϲυγγνώμην νέμειν εὔλογον οὐ | τὴν προαίρεϲιν μεμφομένουϲ, 
-Z/6/754/2	ἀλλὰ τῇ δυϲτυχίᾳ ϲυναλγοῦνταϲ αὐτῶν, ᾗ πρὸ τοῦ κρῖναι δύναϲθαι τὰ 
-Z/6/754/3	διδαϲκόμενα περιέπεϲον οὐκ ἀγαθοῖϲ διδαϲκάλοιϲ. ἄξιοι δὲ μίϲουϲ εἰϲὶν 
-Z/6/754/4	οἱ πρῶτοι διὰ φιλοτιμίαν αἱρέϲειϲ δογμάτων ψευδῶν ϲυϲτηϲάμενοι. 
-Z/6/754/5	φαίνονται γὰρ ἑκόντεϲ ἐξαπατᾶν ἐπιχειρῆϲαι τοὺϲ πέλαϲ, οὐκ ἄκοντεϲ  
-Z/6/754/6	ϲφαλῆναι, μηδενὸϲ ἀνθρώπου εἰϲ τοϲαύτην ἄνοιαν ἥκοντοϲ, ὡϲ ἀγνοῆ-
-Z/6/754/7	ϲαι, πηλίκον ἐϲτὶ κακὸν ἐκτραπῆναι τοὺϲ ἐν τῷ ϲώματι χυμοὺϲ εἰϲ 
-Z/6/754/8	φαρμακώδειϲ ποιότηταϲ. αὐτοὶ γοῦν οὗτοι, πρὸϲ οὓϲ ὁ λόγοϲ ἐϲτί, 
-Z/6/754/9	δύϲκολον ἢ καὶ τελέωϲ ἀδύνατον εἶναί φαϲι διακρῖναι τοὺϲ ἐκ φαρ-
-Z/6/754/10	μάκων ὀλεθρίων προϲφορᾶϲ ἀπολομένουϲ τῶν ἐξ αὐτοῦ τοῦ ϲώματοϲ 
-Z/6/754/11	τῆϲ νοϲώδουϲ διαθέϲεωϲ. οὐ μὴν οὐδ' ὅτι τοὺϲ τῶν ἰοβόλων ὀνομα-
-Z/6/754/12	ζομένων θηρίων ἰούϲ, οὓϲ ἐνιᾶϲι διὰ τοῦ δήγματοϲ, ἐνίουϲ μὲν νε-
-Z/6/754/13	κροῦνταϲ ἐν τάχει τὸ δηχθὲν μόριον, ἐνίουϲ δὲ καὶ ϲήπονταϲ ἢ φλεγ-
-Z/6/754/14	μονὰϲ μεγίϲταϲ ἢ ὀδύναϲ ἐπιφέρονταϲ ἐναργῶϲ ὁρῶμεν, ἔνεϲτιν ἀρνήϲαϲθαί 
-Z/6/754/15	τινι, καθάπερ οὐδ' ὅτι ϲκορπίῳ τιϲ ἐπιπτύϲαϲ δὶϲ ἢ τρὶϲ νῆϲτιϲ εὐθέωϲ 
-Z/6/755/1	ἀναι|ρεῖ τὸ ζῷον. ὥϲπερ γὰρ οἰκεῖαι φύϲειϲ φύϲεϲιν, οὕτωϲ ἕτεραι 
-Z/6/755/2	πολέμιαί τε καὶ φθαρτικαί. τρέφεϲθαι μὲν οὖν ἡμῖν ὑπὸ τῶν οἰκείων, 
-Z/6/755/3	ἀπόλλυϲθαι δὲ ὑπὸ τῶν ἐναντίων ϲυμβαίνει. καὶ λέλεκται περὶ τού-
-Z/6/755/4	των ἐπὶ πλέον ἔν τε τοῖϲ Περὶ τῶν φυϲικῶν δυνάμεων ὑπομνήμαϲι 
-Z/6/755/5	καὶ τοῖϲ Περὶ τῶν ἁπλῶν φαρμάκων. εἰϲ δὲ τὸν ἐνεϲτῶτα λόγον ἱκανὴ 
-Z/6/755/6	καὶ τῶν ἐν τοῖϲ λιμοῖϲ ὀφθέντων ἡ διήγηϲιϲ. εἰ δέ μοι πιϲτεύειν 
-Z/6/755/7	ἐθέλοιϲ οὐδεμίαν μὲν αἰτίαν ἔχοντι τοῦ ψεύδεϲθαι, δυϲχεραίνοντι δὲ 
-Z/6/755/8	ἐπὶ τῷ πολλοὺϲ ἐν βιβλίοιϲ ἐνδόξουϲ ἄνδραϲ ἐψεῦϲθαι μεγάλωϲ, διη-
-Z/6/755/9	γήϲομαί ϲοι τὰ διὰ μακρᾶϲ πείραϲ ἐν ὅλῳ μοι τῷ βίῳ γνωϲθέντα μετὰ 
-Z/6/755/10	τοῦ 〈καὶ〉 τοὺϲ θεοὺϲ ἐπικαλέϲαϲθαι μάρτυραϲ. 
-Z/6/755/11	  ἐμοὶ μὲν γὰρ πατὴρ ἐγένετο γεωμετρίαϲ μὲν καὶ ἀρχιτεκτονικῆϲ 
-Z/6/755/12	καὶ λογιϲτικῆϲ ἀριθμητικῆϲ τε καὶ ἀϲτρονομίαϲ εἰϲ ἄκρον ἥκων, ὑπὸ 
-Z/6/755/13	πάντων δὲ τῶν γνόντων αὐτὸν ἐπὶ δικαιοϲύνῃ καὶ χρηϲτότητι καὶ 
-Z/6/755/14	ϲωφροϲύνῃ θαυμαϲθεὶϲ ὡϲ οὐδεὶϲ τῶν φιλοϲόφων. οὗτοϲ οὖν με παῖδα 
-Z/6/755/15	μὲν ὄντα διαιτῶν αὐτὸϲ ἄνοϲον ἐφύλαξεν. ἐπεὶ δὲ μειράκιον ἐγενόμην  
-Z/6/756/1	ὅ τε πατὴρ ὑπεχώρηϲεν εἰϲ ἀγρὸν ὢν φιλογέωργοϲ, εἰχόμην | μὲν ὧν 
