
[0057]  [090]  []  []

-Z/17a/480/t1	            {ΓΑΛΗΝΟΥ 
-Z/17a/480/t2	ΕΙΣ ΤΟ ΤΡΙΤΟΝ ΒΙΒΛΙΟΝ ΤΩΝ ΕΠΙΔΗΜΙΩΝ 
-Z/17a/480/t3	  ΙΠΠΟΚΡΑΤΟΥΣ ΥΠΟΜΝΗΜΑ ΠΡΩΤΟΝ} 
-Z/17a/480/t3	 
-Z/17a/480/1	  <〈Πρῶτοϲ ἄρρωϲτοϲ.〉 Πυθίων, ὃϲ 
-Z/17a/480/2	ᾤκει παρὰ Γῆϲ ἱερόν· ἤρξατο τρόμοϲ ἀπὸ χειρῶν.> 
-Z/17a/480/2	 
-Z/17a/480/3	  Προγεγράφθαι νοήϲαϲ αὐτὸ καθ' ἑαυτὸ τὸ <Πυθίων, ὃϲ ᾤκει 
-Z/17a/480/4	παρὰ Γῆϲ ἱερόν>, ἀπ' ἄλληϲ ἀρχῆϲ τῶν γενομένων αὐτῷ τὴν διή-
-Z/17a/480/5	γηϲιν ἀναγίνωϲκε. βέλτιον γὰρ οὕτωϲ ἡγεῖϲθαι γεγράφθαι τὴν ῥῆϲιν 
-Z/17a/481/1	ἢ τὸ ϲχῆμα ϲόλοικον ἐξεπίτηδεϲ | εὐθέωϲ ἐν ἀρχῇ πεποιῆϲθαι τὸν 
-Z/17a/481/2	<Ἱπποκράτην>, μηδὲν ἄλλο τοιοῦτον ϲχῆμα καθ' ὅλον τὸ βιβλίον 
-Z/17a/481/3	γράψαντα, μήτ' ἐν τῇ τῶν ἀρρώϲτων μήτ' ἐν τῇ τοῦ λοιμοῦ διηγήϲει. 
-Z/17a/481/4	τινὲϲ μέντοι κατὰ δοτικὴν πτῶϲιν ἔγραψαν· <Πυθίωνι, ὃϲ ᾤκει 
-Z/17a/481/5	παρὰ Γῆϲ ἱερόν>, ἐκφεύγειν τὴν περὶ τοῦ ϲολοικιϲμοῦ ζήτηϲιν βου-
