
[0057]  [068]  []  []

-Z/11/147/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΦΛΕΒΟΤΟΜΙΑΣ ΠΡΟΣ 
-Z/11/147/t2	    ΕΡΑΣΙΣΤΡΑΤΟΝ ΒΙΒΛΙΟΝ.} 
-Z/11/147/1	  Ἄξιον εἶναί μοι δοκεῖ ζητήσεως οὐ σμι-
-Z/11/147/2	κρᾶς τί δή ποτε καὶ τἄλλα τῆς τέχνης ἱκανὸς ὢν ὁ Ἐρασί-
-Z/11/147/3	στρατος, κᾀν τοῖς σμικροτάτοις οὕτως ἐπιμελὴς ὥστε καὶ 
-Z/11/147/4	λαχάνων τινῶν καὶ καταπλασμάτων ἑψήσεις γράφειν, ἐφ' ὧν 
-Z/11/147/5	ἤρκεσεν ἂν ἑτέρῳ πρὸς ὅ τι συμφέρει μόνον εἰπόντι τὸν τρό-
-Z/11/147/6	πον τῆς σκευασίας παραλιπεῖν, ὡς οὐδὲν μέγα καὶ αὐτόν 
-Z/11/147/7	τινι τῶν ἐντυγχανόντων ἐξευρεῖν, ἐν οὕτως ἰσχυρῷ καὶ μεγάλῳ 
-Z/11/147/8	βοηθήματι τῇ φλεβοτομίᾳ καὶ οὐδενὸς ἧττον τῶν δραστικω-
-Z/11/147/9	τάτων εὐδοκιμοῦντι παρὰ τοῖς πρεσβυτέροις αὐτοῦ λόγον  
-Z/11/148/1	οὐδένα πεποίηται. σχεδὸν γὰρ οὔτε τοὔνομα τῆς φλεβοτο-
-Z/11/148/2	μίας ἐστὶν εὑρεῖν ἐν οὐδενὶ συγγράμματι, πλὴν ἅπαξ ἐν τῷ 
-Z/11/148/3	περὶ αἵματος ἀναγωγῆς, ἐπιμνησθέντος αὐτοῦ κατὰ τὸ πάρ-
-Z/11/148/4	εργον μᾶλλον, ὡς ἄν τῳ δόξειεν, ἢ μετά τινος ἀξιολόγου 
-Z/11/148/5	σπουδῆς· μάθοις δ' ἂν ἐξ αὐτῆς τῆς ῥήσεως ἐχούσης ὧδε 
-Z/11/148/6	ἀποδέσεις δὲ ποιεῖσθαι παρά τε τὰς μασχάλας καὶ τοὺς βου-
-Z/11/148/7	βῶνας μὴ ὥσπερ ἔνιοι τῶν μιμουμένων τὰς θεραπείας οὐδὲν 
-Z/11/148/8	παρακολουθοῦντες αἵματος χάριν ταῦτα ποιοῦνται, ἀλλ' 
-Z/11/148/9	ἀποπιέζονται ἱκανῶς τοῖς δεσμοῖς. ἐν γὰρ τοῖς ἀποδουμένοις 
-Z/11/148/10	μέρεσι τοῦ σώματος πλεῖον αἷμα ἀπολαμβάνεται· δηλοῖ δὲ 
-Z/11/148/11	ἥ τε διάτασις τῶν φλεβῶν καὶ ἡ φλεβοτομία· πολὺ γὰρ πλεῖον 
-Z/11/148/12	ῥεῖ, ὅτε ἀποδεθῇ τὸ φλεβοτομούμενον μέρος τοῦ σώ-
-Z/11/148/13	ματος. ἐπὶ δὲ τῆς ἀναγωγῆς τοῦ αἵματος πλεῖστον ἀπολαμ-
-Z/11/148/14	βάνεται τοῦ αἵματος ἀπὸ τῆς ἀποδέσεως ἔν τε τοῖς σκέλεσι 
-Z/11/148/15	καὶ τοῖς βραχίοσιν. ἐλάσσονος γὰρ γινομένου τοῦ περὶ τὸν 
-Z/11/148/16	θώρακα καὶ ἐλαφροτέρα ἔσται ἡ ἀναγωγή. τὸ δ' αὐτὸ τοῦτο 
-Z/11/148/17	βούλονται ποιεῖν καὶ οἱ φλεβοτομοῦντες τοὺς ἀνάγοντας τὸ 
-Z/11/148/18	αἷμα. ἀλλὰ πολὺ βέλτιον ὁ Χρύσιππος, οὐ μόνον τὸ παρὸν  
-Z/11/149/1	ἐπιβλέπων, ἀλλὰ καὶ τοῦ ἐπιφερομένου κινδύνου φροντίζων. 
-Z/11/149/2	ἐχόμενος γὰρ τοῦ περὶ τὴν ἀναγωγὴν ὁ κατὰ τὴν φλεγμονὴν 
-Z/11/149/3	κίνδυνος, ἐν ᾧ προσφέρειν μὲν οὐ ῥᾴδιον· φλεβοτομηθέντι 
-Z/11/149/4	δὲ καὶ πολὺν χρόνον ἀσιτήσαντι κίνδυνος ἐκλυθῆναι· ὁ δὲ 
-Z/11/149/5	τὴν ἐνυπάρχουσαν τροφὴν ἐν τῷ σώματι κατεργαζομένην εἰς 
-Z/11/149/6	τόπους ἀλύτους μεταστησάμενος, καθ' ὃν καιρὸν ὁ τῆς ἐκλύ-
-Z/11/149/7	σεως κίνδυνος· ὅταν δὲ οὕτως παραλλάξῃ, ἐξ ἑτοίμου ταῦτ' 
-Z/11/149/8	ἤδη χρώμενος καὶ μὴ προσφέρειν ἀναγκαζόμενος, ἄκρως πε-
-Z/11/149/9	ριττὸς τῇ διανοίᾳ καὶ ἄξιος ἐπαίνου καὶ δι' ὅλου ἀκολουθῶν 
-Z/11/149/10	αὐτὸς ἑαυτῷ. ὅτι μικρὰ ταῦτα καὶ τὰ τυχόντα, καὶ οὔτε τῆς 
-Z/11/149/11	Ἐρασιστράτου περὶ τὴν τέχνην ἀκριβείας οὔτ' αὐτοῦ τοῦ 
